1;75;WebMoney WMZ;WMZ;840;1;100010010001111011011100000000000001000000100000000000000000000000000000001000100011011110011100011111110000000000001100010000000000000101000100110110111111010100001011011101011100010000000000000010000010000000001000000000000000110000001000111110010000000000000100000000
2;71;Terra (LUNA);LUNA;1022;0;101111111111111111111111011111111111111111111111111111111111111111111111110000110011110000011101111111001000001000000011110100000011000101000101111110111111110111111111111111111111111111111111111011110000000000000000000000000001110111100000100000011100001000000000000000
3;76;WebMoney WME;WME;978;1;000000000000000000000000000000000000000000000000000000000000000000000000001000000010010100000000000011000000000000000000010000000000000100000100000100011000000000000000000001000000000000000000000010000000000000000000000000000000010000000000011110000000000000000000000000
4;167;Беларусбанк BYN;BYN БелБанк;974;3;100110110011111111011111000100010011000011100001100110011111110101011101111000111000010110011100011100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
55;159;Приват 24 USD;USD Приват24;840;3;100000010000000100011100000100000001000000100000100000000000000000000001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6;83;ЮMoney RUB;RUB ЮMoney;643;1;101111111111111111111111011111111111111111111111111111111111111111111111111000110101110100011111111111101111101001000011010000000011000101000100111111111111110111111111111111111111111111111111111011110000000000001000000000000001100111100000000000000000000000000000000000
7;217;Банковский счет BGN;BGN Банк;975;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
42;136;Сбербанк RUB;RUB Сбербанк;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001111111001111111110000000111001001000101111110111000000111111111111111111111111111111111111011110101010111111101010011110101100111111000000000010100001100000001000000
48;45;OMG Network (OMG);OMG;1028;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111101111100001110011000001111110110000011000101010111111111111111111111111111111111111111111111011111111011110111010101111000010000000001111111100001100000011110001000000000000000
15;237;WU EUR;EUR WU;978;4;100000010000000000001000000000000000000000000000000000000000000000000000001000100000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
18;256;Наличные TRY;TRY Наличными;949;5;101010011011111111111100000000010111111111111111111011111111111111111000010000110100000000011100011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19;49;BinanceCoin BEP20 (BNB);BNB BEP20;1032;0;111111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110001001001111010000000011000101010111111111111111110111111111111111111111111111111111111011110111101110110001100000000001111111100001100000011100011100001000000000
20;97;Advanced Cash TRY;TRY AdvCash;949;1;101111111111111111111111011111111011111011111111110010111111111111111111110000111111000000011101011100101110000000000000010000000011000101000100111110111111110100000001001001010100010000000000000010110000000000000000000000000000010000000000000000000000000000000000000000
43;3;Bitcoin BEP20 (BTCB);BTCB BEP20;1050;0;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001110011000000011110000000011000101010111111111111111110111111111111111111111111111111111111011110111101111111000010010000001111111100000100000011100011100000000000000
51;145;ВТБ RUB;RUB ВТБ;643;3;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111001111111001011111010000000111000101000100011110111000000111111111111111111111111111111111111011110001010111111101000011110101100111100000000000010100001000000000000000
47;141;Тинькофф USD;USD Тинькофф;840;3;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
40;79;Perfect Money USD;USD PM;840;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111111110111111111111111111101001011111110000000111001101110111111111111111111111111111111111111111111111111111111011110111111111111101111111000001111111111111000001111110001100000101000000
41;80;Perfect Money EUR;EUR PM;978;1;101111111111111111111111011111111111111111111111111111111111111111111111111000111111110110111111111111101111101000101111010000000111001101000100111111111111111111111111111111111111111111111111111011111010001000000000000000000001111111100001000000011100001100000000000000
45;86;PayPal USD;USD PayPal;840;1;100010010011111111111100001000010111000011110011010010111111111101111101001110110011000000011100000011000000000000000000000000000000000101000100111111111111100111111101111011110100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
